COMPOUND_ID,NAME_FOOD_DB,NEW_SMILES,FLAVOR_ID,NAME_FLAVOR,FLAVOR_GROUP
373,Prenyl acetate,CC(=O)OCC=C(C)C,71.0,banana,fruity
411,Geranyl 3-methylbutanoate,CC(C)=CCCC(C)=CCOC(=O)CC(C)C,69.0,apple,fruity
412,Geranyl hexanoate,CCCCCC(=O)OCC=C(C)CCC=C(C)C,81.0,fruity,fruity
423,5Z-Octenyl acetate,CCC=CCCCCOC(C)=O,81.0,fruity,fruity
700,Undecanoic acid,CCCCCCCCCCC(=O)O,75.0,coconut,fruity
701,Ethyl undecanoate,CCCCCCCCCCC(=O)OCC,75.0,coconut,fruity
728,Diethyl malonate,CCOC(=O)CC(=O)OCC,69.0,apple,fruity
739,Methyl sorbate,CC=CC=CC(=O)OC,81.0,fruity,fruity
751,Triacetin,CC(=O)OCC(COC(C)=O)OC(C)=O,81.0,fruity,fruity
806,2-Methylbenzaldehyde,Cc1ccccc1C=O,74.0,cherry,fruity
807,3-Methylbenzaldehyde,Cc1cccc(C=O)c1,81.0,fruity,fruity
808,4-Methylbenzaldehyde,Cc1ccc(C=O)cc1,81.0,fruity,fruity
826,2-(4-Methylphenyl)-2-propanol,Cc1ccc(C(C)(C)O)cc1,81.0,fruity,fruity
872,4-Methoxybenzaldehyde,COc1ccc(C=O)cc1,72.0,berry,fruity
874,2-Ethoxynaphthalene,CCOc1ccc2ccccc2c1,77.0,grape,fruity
878,Wine lactone,CC1=CC2OC(=O)C(C)C2CC1,75.0,coconut,fruity
897,Methyl anthranilate,COC(=O)c1ccccc1N,78.0,grapefruit,fruity
930,3-Ethylpyridine,CCc1cccnc1,81.0,fruity,fruity
952,Methyl 2-furoate,COC(=O)c1ccco1,81.0,fruity,fruity
966,Ethyl (±)-2-methyl-4-pentenoate,C=CCC(C)C(=O)OCC,81.0,fruity,fruity
968,Pentyl pentanoate,CCCCCOC(=O)CCCC,81.0,fruity,fruity
969,Allyl nonanoate,C=CCOC(=O)CCCCCCCC,81.0,fruity,fruity
1022,Ethyl hexadecanoate,CCCCCCCCCCCCCCCC(=O)OCC,81.0,fruity,fruity
1081,Methyl (xi)-3-nonenoate,CCCCCC=CCC(=O)OC,81.0,fruity,fruity
1267,Hexyl acetate,CCCCCCOC(C)=O,81.0,fruity,fruity
1325,Methyl 3-methylbutanoate,COC(=O)CC(C)C,69.0,apple,fruity
1326,Ethyl isovalerate,CCOC(=O)CC(C)C,81.0,fruity,fruity
1327,Isopentyl isopentanoate,CC(C)CCOC(=O)CC(C)C,80.0,mango,fruity
1329,(±)-6-Methyl-5-hepten-2-yl acetate,CC(=O)OC(C)CCC=C(C)C,81.0,fruity,fruity
1358,Butyl propionate,CCCCOC(=O)CC,71.0,banana,fruity
1363,Isopropyl propionate,CCC(=O)OC(C)C,81.0,fruity,fruity
1366,Ethyl propionate,CCOC(=O)CC,81.0,fruity,fruity
1367,Propyl propionate,CCCOC(=O)CC,85.0,pineapple,fruity
1368,Methyl 3-phenylpropanoate,COC(=O)CCc1ccccc1,81.0,fruity,fruity
1370,Methyl propionate,CCC(=O)OC,81.0,fruity,fruity
1371,Benzyl propionate,CCC(=O)OCc1ccccc1,69.0,apple,fruity
1927,Prenol,CC(C)=CCO,81.0,fruity,fruity
1929,3-Methyl-3-butenol,C=C(C)CCO,81.0,fruity,fruity
2022,1-(2-Furanylmethyl)-1H-pyrrole,c1coc(Cn2cccc2)c1,81.0,fruity,fruity
2288,Linalyl formate,C=CC(C)(CCC=C(C)C)OC=O,81.0,fruity,fruity
2290,Linalyl isobutyrate,C=CC(C)(CCC=C(C)C)OC(=O)C(C)C,81.0,fruity,fruity
2291,Linalyl butyrate,C=CC(C)(CCC=C(C)C)OC(=O)CCC,84.0,pear,fruity
2292,Linalyl isovalerate,C=CC(C)(CCC=C(C)C)OC(=O)CC(C)C,69.0,apple,fruity
2293,Linalyl hexanoate,C=CC(C)(CCC=C(C)C)OC(=O)CCCCC,81.0,fruity,fruity
2294,Linalyl caprylate,C=CC(C)(CCC=C(C)C)OC(=O)CCCCCCC,81.0,fruity,fruity
2712,Maltol,Cc1occc(=O)c1O,79.0,jam,fruity
2827,Dihydro-5-(2-octenyl)-2(3H)-furanone,CCCCCC=CCC1CCC(=O)O1,81.0,fruity,fruity
2870,1-(4-Methoxyphenyl)-1-penten-3-one,CCC(=O)C=Cc1ccc(OC)cc1,74.0,cherry,fruity
2891,1-Tetradecanol,CCCCCCCCCCCCCCO,75.0,coconut,fruity
2922,Methyl 2-undecynoate,CCCCCCCCC#CC(=O)OC,81.0,fruity,fruity
