COMPOUND_ID,NAME_FOOD_DB,NEW_SMILES,FLAVOR_ID,NAME_FLAVOR,FLAVOR_GROUP
373,Prenyl acetate,CC(=O)OCC=C(C)C,44.0,sweet,balsamic
477,"1-(3,4-Dimethoxyphenyl)ethanone",COc1ccc(C(C)=O)cc1OC,44.0,sweet,balsamic
718,"3-Acetyl-2,5-dimethylfuran",CC(=O)c1cc(C)oc1C,44.0,sweet,balsamic
728,Diethyl malonate,CCOC(=O)CC(=O)OCC,44.0,sweet,balsamic
753,Ethanol,CCO,44.0,sweet,balsamic
774,Tiglic acid,CC=C(C)C(=O)O,44.0,sweet,balsamic
776,5-Methyl-2(3H)-furanone,Cc1ccc(O)o1,44.0,sweet,balsamic
807,3-Methylbenzaldehyde,Cc1cccc(C=O)c1,44.0,sweet,balsamic
809,(4-Methylphenyl)acetaldehyde,Cc1ccc(CC=O)cc1,44.0,sweet,balsamic
810,3-(4-Methylphenyl)-2-propenal,Cc1ccc(C=CC=O)cc1,41.0,cinnamon,balsamic
822,"4-Hydroxy-3,5-dimethoxybenzaldehyde",COc1cc(C=O)cc(OC)c1O,44.0,sweet,balsamic
826,2-(4-Methylphenyl)-2-propanol,Cc1ccc(C(C)(C)O)cc1,44.0,sweet,balsamic
838,Vanillin,COc1cc(C=O)ccc1O,45.0,vanilla,balsamic
839,Vanillin acetate,COc1cc(C=O)ccc1OC(C)=O,44.0,sweet,balsamic
840,Vanilloside,COc1cc(C=O)ccc1OC1OC(CO)C(O)C(O)C1O,45.0,vanilla,balsamic
841,Ethyl vanillin,CCOc1cc(C=O)ccc1O,44.0,sweet,balsamic
846,Vanillic acid,COc1cc(C(=O)O)ccc1O,44.0,sweet,balsamic
855,"1,4-Dimethoxybenzene",COc1ccc(OC)cc1,44.0,sweet,balsamic
865,"2,6-Dimethoxy-4-methylphenol",COc1cc(C)cc(OC)c1O,39.0,caramel,balsamic
872,4-Methoxybenzaldehyde,COc1ccc(C=O)cc1,44.0,sweet,balsamic
878,Wine lactone,CC1=CC2OC(=O)C(C)C2CC1,44.0,sweet,balsamic
887,Cinnamyl alcohol,OCC=Cc1ccccc1,44.0,sweet,balsamic
889,Cinnamyl acetate,CC(=O)OCC=Cc1ccccc1,44.0,sweet,balsamic
897,Methyl anthranilate,COC(=O)c1ccccc1N,42.0,honey,balsamic
914,2-Thiophenethiol,Sc1cccs1,39.0,caramel,balsamic
930,3-Ethylpyridine,CCc1cccnc1,39.0,caramel,balsamic
952,Methyl 2-furoate,COC(=O)c1ccco1,44.0,sweet,balsamic
963,Herniarin,COc1ccc2ccc(=O)oc2c1,44.0,sweet,balsamic
966,Ethyl (±)-2-methyl-4-pentenoate,C=CCC(C)C(=O)OCC,44.0,sweet,balsamic
969,Allyl nonanoate,C=CCOC(=O)CCCCCCCC,44.0,sweet,balsamic
1022,Ethyl hexadecanoate,CCCCCCCCCCCCCCCC(=O)OCC,37.0,balsam,balsamic
1028,Ethyl salicylate,CCOC(=O)c1ccccc1O,44.0,sweet,balsamic
1029,Benzyl salicylate,O=C(OCc1ccccc1)c1ccccc1O,37.0,balsam,balsamic
1136,D-Xylose,O=C(C(O)CO)C(O)CO,44.0,sweet,balsamic
1267,Hexyl acetate,CCCCCCOC(C)=O,44.0,sweet,balsamic
1291,Nopol,CC1(C)C2CC=C(CCO)C1C2,44.0,sweet,balsamic
1326,Ethyl isovalerate,CCOC(=O)CC(C)C,44.0,sweet,balsamic
1327,Isopentyl isopentanoate,CC(C)CCOC(=O)CC(C)C,44.0,sweet,balsamic
1358,Butyl propionate,CCCCOC(=O)CC,44.0,sweet,balsamic
1363,Isopropyl propionate,CCC(=O)OC(C)C,44.0,sweet,balsamic
1366,Ethyl propionate,CCOC(=O)CC,44.0,sweet,balsamic
1367,Propyl propionate,CCCOC(=O)CC,44.0,sweet,balsamic
1368,Methyl 3-phenylpropanoate,COC(=O)CCc1ccccc1,42.0,honey,balsamic
1369,"1,1-Dimethoxyethane",COC(C)OC,44.0,sweet,balsamic
1371,Benzyl propionate,CCC(=O)OCc1ccccc1,44.0,sweet,balsamic
1462,cis-beta-Ocimene,C=CC(C)=CCC=C(C)C,44.0,sweet,balsamic
1929,3-Methyl-3-butenol,C=C(C)CCO,44.0,sweet,balsamic
2076,Limonene aldehyde,CC1=CCC(C(C)CC=O)CC1,44.0,sweet,balsamic
2253,3-Aminopropanoic acid,NCCC(=O)O,44.0,sweet,balsamic
2291,Linalyl butyrate,C=CC(C)(CCC=C(C)C)OC(=O)CCC,44.0,sweet,balsamic
2292,Linalyl isovalerate,C=CC(C)(CCC=C(C)C)OC(=O)CC(C)C,44.0,sweet,balsamic
2294,Linalyl caprylate,C=CC(C)(CCC=C(C)C)OC(=O)CCCCCCC,44.0,sweet,balsamic
2413,"2,5-Dimethylphenol",Cc1ccc(C)c(O)c1,44.0,sweet,balsamic
2712,Maltol,Cc1occc(=O)c1O,39.0,caramel,balsamic
2728,Isoeugenol,CC=Cc1ccc(O)c(OC)c1,44.0,sweet,balsamic
2793,Anethole,CC=Cc1ccc(OC)cc1,36.0,anise,balsamic
2870,1-(4-Methoxyphenyl)-1-penten-3-one,CCC(=O)C=Cc1ccc(OC)cc1,44.0,sweet,balsamic
2897,Tridecanal,CCCCCCCCCCCCC=O,44.0,sweet,balsamic
2917,Undecanal,CCCCCCCCCCC=O,44.0,sweet,balsamic
2937,"(3Z,6Z)-3,6-Nonadien-1-ol",CCC=CCC=CCCO,44.0,sweet,balsamic
2987,Ethyl decanoate,CCCCCCCCCC(=O)OCC,44.0,sweet,balsamic
3014,2-Dodecenal,CCCCCCCCCC=CC=O,44.0,sweet,balsamic
3194,Tetrahydro-2-furanmethanol,OCC1CCCO1,39.0,caramel,balsamic
3196,Tetrahydrofurfuryl acetate,CC(=O)OCC1CCCO1,44.0,sweet,balsamic
3198,Dihydro-2-methyl-3(2H)-furanone,CC1OCCC1=O,44.0,sweet,balsamic
3217,"3,5,5-Trimethyl-2-cyclohexen-1-one",CC1=CC(=O)CC(C)(C)C1,44.0,sweet,balsamic
3221,"2,5-Dihydro-2,4,5-trimethyloxazole",CC1=NC(C)OC1C,39.0,caramel,balsamic
3230,Methyl pentanoate,CCCCC(=O)OC,44.0,sweet,balsamic
3232,1-Phenyl-1-pentanone,CCCCC(=O)c1ccccc1,37.0,balsam,balsamic
3241,Ethyl acetate,CCOC(C)=O,36.0,anise,balsamic
3245,2-Ethylbutanal,CCC(C=O)CC,44.0,sweet,balsamic
3246,2-Ethylbutanoic acid,CCC(CC)C(=O)O,39.0,caramel,balsamic
3256,2-Ethyl-1-hexanol,CCCCC(CC)CO,44.0,sweet,balsamic
3269,Isopropyl acetate,CC(=O)OC(C)C,44.0,sweet,balsamic
3276,2-Methylpropyl acetate,CC(=O)OCC(C)C,44.0,sweet,balsamic
3277,2-Methylpropyl formate,CC(C)COC=O,44.0,sweet,balsamic
3279,Ethyl 2-methylpropanoate,CCOC(=O)C(C)C,44.0,sweet,balsamic
3281,Phenylmethyl 2-methylpropanoate,CC(C)C(=O)OCc1ccccc1,44.0,sweet,balsamic
3286,3-Methylbutanal,CC(C)CC=O,40.0,chocolate,balsamic
3297,4-Oxopentanoic acid,CC(=O)CCC(=O)O,44.0,sweet,balsamic
3306,Methyl nonanoate,CCCCCCCCC(=O)OC,44.0,sweet,balsamic
3309,2-Nonanone,CCCCCCCC(C)=O,44.0,sweet,balsamic
3310,3-Nonanone,CCCCCCC(=O)CC,44.0,sweet,balsamic
3338,Methyl caprylate,CCCCCCCC(=O)OC,44.0,sweet,balsamic
3361,"3-Hydroxy-4,5-dimethyl-2(5H)-furanone",Cc1oc(O)c(O)c1C,39.0,caramel,balsamic
3364,Ethyl 3-oxohexanoate,CCCC(=O)CC(=O)OCC,44.0,sweet,balsamic
3365,"5-Acetyl-3,4-dihydro-2H-pyrrole",CC(=O)C1=NCCC1,44.0,sweet,balsamic
3368,Benzyl acetate,CC(=O)OCc1ccccc1,44.0,sweet,balsamic
3371,2-Pentyl-3-phenyl-2-propenal,CCCCCC(C=O)=Cc1ccccc1,44.0,sweet,balsamic
3375,4-(Methylthio)-2-butanone,CSCCC(C)=O,44.0,sweet,balsamic
3379,Butanal,CCCC=O,40.0,chocolate,balsamic
