id,compound_id,flavor_id,citations,created_at,updated_at,creator_id,updater_id,source_id,source_type
1,11947,159,"# Arn, H, Acree TE. “Flavornet: A database of aroma compounds based on odor potency in natural products”. Developments in Food Science 40 (1998): 27. doi:10.1016/S0167-4501(98)80029-0",2011-10-02 06:30:05 UTC,2015-10-23 23:29:45 UTC,,,11947,Compound
2,8298,213,"# Arn, H, Acree TE. “Flavornet: A database of aroma compounds based on odor potency in natural products”. Developments in Food Science 40 (1998): 27. doi:10.1016/S0167-4501(98)80029-0
# The Good Scents Company (2009). Flavor and fragrance information catalog. <http://www.thegoodscentscompany.com/allprod.html> Accessed 15.10.23.",2011-10-02 06:30:05 UTC,2015-10-23 23:29:56 UTC,,,8298,Compound
3,8298,156,"# Arn, H, Acree TE. “Flavornet: A database of aroma compounds based on odor potency in natural products”. Developments in Food Science 40 (1998): 27. doi:10.1016/S0167-4501(98)80029-0",2011-10-02 06:30:05 UTC,2015-10-23 23:29:45 UTC,,,8298,Compound
4,11889,231,"# Arn, H, Acree TE. “Flavornet: A database of aroma compounds based on odor potency in natural products”. Developments in Food Science 40 (1998): 27. doi:10.1016/S0167-4501(98)80029-0",2011-10-02 06:30:05 UTC,2015-10-23 23:29:45 UTC,,,11889,Compound
5,11889,166,"# Arn, H, Acree TE. “Flavornet: A database of aroma compounds based on odor potency in natural products”. Developments in Food Science 40 (1998): 27. doi:10.1016/S0167-4501(98)80029-0",2011-10-02 06:30:06 UTC,2015-10-23 23:29:45 UTC,,,11889,Compound
6,11889,165,"# Arn, H, Acree TE. “Flavornet: A database of aroma compounds based on odor potency in natural products”. Developments in Food Science 40 (1998): 27. doi:10.1016/S0167-4501(98)80029-0
# The Good Scents Company (2009). Flavor and fragrance information catalog. <http://www.thegoodscentscompany.com/allprod.html> Accessed 15.10.23.",2011-10-02 06:30:06 UTC,2015-10-23 23:29:56 UTC,,,11889,Compound
7,12086,226,"# Arn, H, Acree TE. “Flavornet: A database of aroma compounds based on odor potency in natural products”. Developments in Food Science 40 (1998): 27. doi:10.1016/S0167-4501(98)80029-0",2011-10-02 06:30:06 UTC,2015-10-23 23:29:45 UTC,,,12086,Compound
8,12086,213,"# Arn, H, Acree TE. “Flavornet: A database of aroma compounds based on odor potency in natural products”. Developments in Food Science 40 (1998): 27. doi:10.1016/S0167-4501(98)80029-0",2011-10-02 06:30:06 UTC,2015-10-23 23:29:45 UTC,,,12086,Compound
9,768,114,"# Arn, H, Acree TE. “Flavornet: A database of aroma compounds based on odor potency in natural products”. Developments in Food Science 40 (1998): 27. doi:10.1016/S0167-4501(98)80029-0",2011-10-02 06:30:06 UTC,2015-10-23 23:29:45 UTC,,,768,Compound
10,8281,93,"# Arn, H, Acree TE. “Flavornet: A database of aroma compounds based on odor potency in natural products”. Developments in Food Science 40 (1998): 27. doi:10.1016/S0167-4501(98)80029-0
# Dunkel, M. et al. ""SuperScent - a database of flavors and scents"":http://nar.oxfordjournals.org/content/37/suppl_1/D291.full. Nucleic Acids Research 2008, doi:10.1093/nar/gkn695",2011-10-02 06:30:07 UTC,2015-10-23 23:29:56 UTC,,2,8281,Compound
