FLAVOR_ID,NAME_FLAVOR,FLAVOR_GROUP,COMPOUND_ID,NAME_FOOD_DB,NEW_SMILES
93.0,alcohol,chemical,358,4-Ethylphenol,CCc1ccc(O)cc1
105.0,medicinal,medicinal,358,4-Ethylphenol,CCc1ccc(O)cc1
30.0,lavender,floral,373,Prenyl acetate,CC(=O)OCC=C(C)C
44.0,sweet,balsamic,373,Prenyl acetate,CC(=O)OCC=C(C)C
71.0,banana,fruity,373,Prenyl acetate,CC(=O)OCC=C(C)C
81.0,fruity,fruity,373,Prenyl acetate,CC(=O)OCC=C(C)C
37.0,balsam,balsamic,373,Prenyl acetate,CC(=O)OCC=C(C)C
34.0,rose,floral,411,Geranyl 3-methylbutanoate,CC(C)=CCCC(C)=CCOC(=O)CC(C)C
69.0,apple,fruity,411,Geranyl 3-methylbutanoate,CC(C)=CCCC(C)=CCOC(=O)CC(C)C
59.0,green,green,411,Geranyl 3-methylbutanoate,CC(C)=CCCC(C)=CCOC(=O)CC(C)C
81.0,fruity,fruity,411,Geranyl 3-methylbutanoate,CC(C)=CCCC(C)=CCOC(=O)CC(C)C
85.0,pineapple,fruity,411,Geranyl 3-methylbutanoate,CC(C)=CCCC(C)=CCOC(=O)CC(C)C
34.0,rose,floral,412,Geranyl hexanoate,CCCCCC(=O)OCC=C(C)CCC=C(C)C
25.0,geranium,floral,412,Geranyl hexanoate,CCCCCC(=O)OCC=C(C)CCC=C(C)C
81.0,fruity,fruity,412,Geranyl hexanoate,CCCCCC(=O)OCC=C(C)CCC=C(C)C
48.0,melon,citrus,423,5Z-Octenyl acetate,CCC=CCCCCOC(C)=O
59.0,green,green,423,5Z-Octenyl acetate,CCC=CCCCCOC(C)=O
81.0,fruity,fruity,423,5Z-Octenyl acetate,CCC=CCCCCOC(C)=O
104.0,pepper,pepper,449,Piperine,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1
112.0,animal,animal,449,Piperine,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1
44.0,sweet,balsamic,477,"1-(3,4-Dimethoxyphenyl)ethanone",COc1ccc(C(C)=O)cc1OC
54.0,woody,woody,477,"1-(3,4-Dimethoxyphenyl)ethanone",COc1ccc(C(C)=O)cc1OC
33.0,floral,floral,477,"1-(3,4-Dimethoxyphenyl)ethanone",COc1ccc(C(C)=O)cc1OC
7.0,tomato,vegetable,499,2-Acetyl-3-ethylpyrazine,CCc1nccnc1C(C)=O
17.0,oily,fatty,499,2-Acetyl-3-ethylpyrazine,CCc1nccnc1C(C)=O
68.0,earthy,earthy,499,2-Acetyl-3-ethylpyrazine,CCc1nccnc1C(C)=O
6.0,potato,vegetable,499,2-Acetyl-3-ethylpyrazine,CCc1nccnc1C(C)=O
98.0,nutty,nutty,499,2-Acetyl-3-ethylpyrazine,CCc1nccnc1C(C)=O
2.0,corn,vegetable,499,2-Acetyl-3-ethylpyrazine,CCc1nccnc1C(C)=O
15.0,creamy,fatty,700,Undecanoic acid,CCCCCCCCCCC(=O)O
14.0,cheese,fatty,700,Undecanoic acid,CCCCCCCCCCC(=O)O
18.0,fatty,fatty,700,Undecanoic acid,CCCCCCCCCCC(=O)O
75.0,coconut,fruity,700,Undecanoic acid,CCCCCCCCCCC(=O)O
75.0,coconut,fruity,701,Ethyl undecanoate,CCCCCCCCCCC(=O)OCC
110.0,soapy,soapy,701,Ethyl undecanoate,CCCCCCCCCCC(=O)OCC
18.0,fatty,fatty,701,Ethyl undecanoate,CCCCCCCCCCC(=O)OCC
94.0,plastic,chemical,707,Glycerol tribenzoate,O=C(OCC(COC(=O)c1ccccc1)OC(=O)c1ccccc1)c1ccccc1
59.0,green,green,707,Glycerol tribenzoate,O=C(OCC(COC(=O)c1ccccc1)OC(=O)c1ccccc1)c1ccccc1
67.0,musty,earthy,708,Dihydroisophorol,CC1CC(O)CC(C)(C)C1
21.0,spicy,spicy,708,Dihydroisophorol,CC1CC(O)CC(C)(C)C1
44.0,sweet,balsamic,718,"3-Acetyl-2,5-dimethylfuran",CC(=O)c1cc(C)oc1C
67.0,musty,earthy,718,"3-Acetyl-2,5-dimethylfuran",CC(=O)c1cc(C)oc1C
98.0,nutty,nutty,718,"3-Acetyl-2,5-dimethylfuran",CC(=O)c1cc(C)oc1C
68.0,earthy,earthy,718,"3-Acetyl-2,5-dimethylfuran",CC(=O)c1cc(C)oc1C
2.0,corn,vegetable,718,"3-Acetyl-2,5-dimethylfuran",CC(=O)c1cc(C)oc1C
69.0,apple,fruity,728,Diethyl malonate,CCOC(=O)CC(=O)OCC
44.0,sweet,balsamic,728,Diethyl malonate,CCOC(=O)CC(=O)OCC
81.0,fruity,fruity,728,Diethyl malonate,CCOC(=O)CC(=O)OCC
59.0,green,green,728,Diethyl malonate,CCOC(=O)CC(=O)OCC
95.0,sulfurous,chemical,734,Diisopropyl disulfide,CC(C)SSC(C)C
57.0,meaty,meaty,734,Diisopropyl disulfide,CC(C)SSC(C)C
133.0,cabbage,vegetable,734,Diisopropyl disulfide,CC(C)SSC(C)C
93.0,alcohol,chemical,736,3-Methyl-2-butenoic acid,CC(C)=CC(=O)O
59.0,green,green,736,3-Methyl-2-butenoic acid,CC(C)=CC(=O)O
81.0,fruity,fruity,739,Methyl sorbate,CC=CC=CC(=O)OC
